"ISBN","title","price","quantity"
"0030423341","World History Program Assessment Support System Grades 6-8 Ancient Civilizations",60.01,0
"0030426979","Holt bien dit 2 student book",147.1,0
"0030432189","Holt bien dit 3 student book",99.9,0
"0030456223","Holt Science & Technology Teacher's Edition Life Science",130.3,0
"0030457572","Holt Science & Technology Teacher's Edition Earth Science",130.3,0
"0030457688","Holt Science & Technology Teacher's Edition Physical Science",130.3,0
"003046224X","Holt Science & Technology Student Edition Life Science",96.2,0
"0030462274","Holt Science & Technology Student Edition Earth Science",96.2,0
"0030462282","Holt Science & Technology Student Edition Physical Science",96.2,0
"0030462428","Holt Science & Technology Premier Online Student Edition (1-year subscription) Life Science",27,0
"0030462436","Holt Science & Technology Premier Online Student Edition (1-year subscription) Earth Science",27,0
"0030462444","Holt Science & Technology Premier Online Student Edition (1-year subscription) Physical Science",27,0
"0030464285","Holt Science & Technology Chapter Resources CD-ROM Earth Science",68.2,0
"003046434X","Holt Science & Technology Chapter Resources CD-ROM Physical Science",68.2,0
"0030543517","Holt science spectrum: A balanced approach",0,0
"0030566118","Komm mit! 2 video cassette",780,0
"0030566126","Komm mit! 1 video cassette",780,0
"0030650119","Komm mit! 1 workbook",27.3,0
"003065016X","Komm mit! 2 workbook",28.8,0
"0030664519","Komm mit! 1 teacher's resource book",390,0
"0030664527","Komm mit! 2 teacher's resource book",390,0
"0030780195","World Geography Differentiated Instruction Teacher Management System Grades 6-8",44.37,0
"0030780217","World Geography Progress Assessment Support System with Answer Key ",59.42,0
"0030780233","World Geography Geography, Science and Cultures Activities with Answer Key Grades 6-8",32.05,0
"0030796237","Holt bien dit 2 teacher's book",171.8,0
"0030796245","Holt bien dit 3 teacher's book",89.9,0
"0030797187","Holt bien dit 1A workbook",27,0
"0030797217","Holt bien dit 1 cahier de vocabulaire et grammaire",22.5,0
"0030797438","Holt bien dit 1B student book",116.7,0
"0030797497","Holt bien dit 1A student book",116.7,0
"0030797748","World Geography Student World Atlas Grades 6-8",17.94,0
"0030882478","Holt bien dit 2 cahier de vocabulaire et grammaire",22.5,0
"0030920396","Holt bien dit 3 cahier de vocabulaire et grammaire",22.5,0
"0030920450","Holt bien dit 3 teacher's planner DVD",49.8,0
"0030934206","World Geography Today Student World Atlas With Answer Key",13.01,0
"003094421X","Elements of Literature, grade 8, teacher's ed.",184.6,0
"0030962196","Lifetime Health",111.3,0
"003096220X","Lifetime Health, Teacher's ed.",137.1,0
"0030986389","Adventures in English literature",192,0
"0030993407","English workshop fifth course",46.1,0
"0030996236","Elements of Literature, grade 8, Assessments",65.7,0
"0034572481","Lion, the witch, and the wardrobe (classic animated feature)",24.9,0
"0034577572","Tales of Beatrix Potter Royal Ballet",42,0
"0048242675","Travel the world game",34,0
"0048243787","Alphabet frieze",18.5,0
"0048243817","Alphabet and numbers fun (double-sided magnetic board)",27.5,0
"0048243833","Number frieze",18.5,1
"0048250651","My complete activity pack",44,0
"0048251194","Early Learning Centre: My Complete Learning Pack",35,0
"0052412075","Princess bride",26.2,0
"0060001445","Her highness, my wife",10.9,0
"0060001453","Love with the proper husband",10.9,0
"006000150X","Diary of a worm",25.6,0
"006000181X","Withe her last breath",7.7,0
"0060002050","On a wicked dawn",12.5,0
"0060002069","Lady chosen",12.5,0
"0060002077","Gentleman's honor",12.5,0
"0060004401","People's history of the American revolution: How common people shaped the fight for independence",17.7,0
"0060005424","Lirael",12.5,0
"0060005696","Paradox of choice: Why more is less",17.9,0
